text,label
I love this product,positive
This is amazing,positive
Absolutely fantastic experience,positive
I really enjoyed this,positive
Best purchase ever,positive
Highly recommend it,positive
Very happy with the service,positive
This made my day,positive
Excellent quality,positive
Superb performance,positive
I am extremely satisfied,positive
Wonderful and delightful,positive
This is perfect,positive
Totally worth it,positive
Brilliant work,positive
I hate this product,negative
Worst experience ever,negative
Very disappointing,negative
I am not happy,negative
Terrible quality,negative
Waste of money,negative
I regret buying this,negative
This is awful,negative
Completely useless,negative
Not worth it at all,negative
Very bad service,negative
Extremely poor performance,negative
I am frustrated,negative
This broke quickly,negative
Horrible experience,negative
It is okay,neutral
Not bad,neutral
Average product,neutral
Nothing special,neutral
It works fine,neutral
Just okay,neutral
Neither good nor bad,neutral
It is acceptable,neutral
Fine for the price,neutral
Decent experience,neutral
It does the job,neutral
No complaints,neutral
It is normal,neutral
Satisfied but not impressed,neutral
Mediocre quality,neutral
I love the design but hate the battery,neutral
Good but could be better,neutral
Bad at first but improved later,neutral
I am unsure about this,neutral
Mixed feelings about this,neutral
The product is great and works perfectly,positive
I am very happy with my purchase,positive
Excellent service and fast delivery,positive
The quality exceeded my expectations,positive
I would definitely buy this again,positive
Super happy with the results,positive
This is one of the best things I bought,positive
Everything works as expected,positive
The support team was very helpful,positive
Amazing experience overall,positive
The product stopped working after a week,negative
I am very disappointed with the quality,negative
Customer service was terrible,negative
I will never buy this again,negative
This is a complete waste,negative
Very poor build quality,negative
The item arrived damaged,negative
I had a bad experience,negative
Not satisfied at all,negative
It failed my expectations,negative
The product is fine but delivery was late,neutral
Good quality but expensive,neutral
Works well but has some issues,neutral
Average experience overall,neutral
The design is nice but performance is average,neutral
Nothing impressive,neutral
It’s okay for daily use,neutral
The features are decent,neutral
Neither satisfied nor dissatisfied,neutral
Okay product for the price,neutral
Wow this is amazing,positive
Wow you did great,positive
You won the match,positive
Congratulations you won,positive
That was a great performance,positive
Awesome victory,positive
Proud of this win,positive
This is शानदार,positive
Great job winning,positive
Fantastic achievement,positive
